session	challenge	difficulty	qubits	method	method_family	run_id	status	source_path	worktree	commit	backend	shots	max_bond	seed	ordering	seconds	notes
tree_tensor_sim_session	32_5	very easy	32	quimb_cpu_all	quimb	challenge-32_5.quimb_tree_graph_mps	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all_cpu/json/challenge-32_5.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7	numpy	1024	512	20260605	weighted_spectral	600.3461958561093	graph_ordered_mps_fallback
tree_tensor_sim_session	32_5	very easy	32	quimb_cpu_all	quimb	collector_evidence:32_5:1	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-32_5.quimb_tree_graph_mps.json	quantum-junction	801d2ef			1376			600.3461958561093	collector priority 80
tree_tensor_sim_session	36_6	very easy	36	collector_snapshot	collector	collector_selected:36_6	unknown	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	quantum-junction	801d2ef							selected from quimb_cpu_all
tree_tensor_sim_session	36_6	very easy	36	quimb_cpu_all	quimb	challenge-36_6.quimb_tree_graph_mps	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all_cpu/json/challenge-36_6.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7	numpy	1024	512	20260605	weighted_spectral	167.304611640051	graph_ordered_mps_fallback
tree_tensor_sim_session	36_6	very easy	36	quimb_cpu_all	quimb	collector_evidence:36_6:1	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-36_6.quimb_tree_graph_mps.json	quantum-junction	801d2ef			25			167.304611640051	collector priority 80
tree_tensor_sim_session	40_7	very easy	40	collector_snapshot	collector	collector_selected:40_7	unknown	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	quantum-junction	801d2ef							selected from quimb_cpu_all
tree_tensor_sim_session	40_7	very easy	40	quimb_cpu_all	quimb	challenge-40_7.quimb_tree_graph_mps	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all_cpu/json/challenge-40_7.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7	numpy	1024	512	20260605	weighted_spectral	14.323705504997633	graph_ordered_mps_fallback
tree_tensor_sim_session	40_7	very easy	40	quimb_cpu_all	quimb	collector_evidence:40_7:1	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-40_7.quimb_tree_graph_mps.json	quantum-junction	801d2ef			4			14.323705504997633	collector priority 80
tree_tensor_sim_session	48_8	very easy	48	collector_snapshot	collector	collector_selected:48_8	unknown	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	quantum-junction	801d2ef							selected from quimb_cpu_all
tree_tensor_sim_session	48_8	very easy	48	quimb_cpu_all	quimb	challenge-48_8.quimb_tree_graph_mps	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all_cpu/json/challenge-48_8.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7	numpy	1024	512	20260605	weighted_spectral	8.576204065000638	graph_ordered_mps_fallback
